"porn?
empty/1"	"unnatural?
empty/1"	"lang correct?
0/1"	text_show	id
			"Aquesta notícia es va publicar originalment el 13/04/2017 i, per tant, la informació que hi apareix fa referència a la data especificada.El Departament de Salut destinarà 259.064 euros al Vallès Oriental per a equips de diversos Centres d’Atenció Primària (CAP). Els que més dotacions rebran són els de Canovelles-Granollers Oest (83.037 euros), Sant Celoni (80.203 euros) i Les Franqueses-Granollers Nord (54.996 euros), ja que segons el departament ""es dóna prioritat a les zones de més desigualtat
..........
 dels centres en zones més desafavorides. A nivell de tot el país, també s’han adjudicat 11 milions més per a substitucions de professionals i 22 milions més per a la salut mental. També es contractaran més facultatius. El conseller de Salut, Antoni Comín, ha posat en valor que gràcies a l‘indicador compost ara es disposa d’un mapa de les desigualtats en salut a Catalunya, la lluita contra les quals és una de les principals línies d’actuació aquesta legislatura i en la qual l’àmbit de l’atenció "	f98ceed8b40be1cbe50f7dfb8e12beea
			"França Lliure França Lliure és el nom que es donava a la resistència fundada a Londres pel general De Gaulle després de la crida del 18 de juny de 1940 de qui fou reconegut com a cap dels francesos que continuen la guerra per Winston Churchill durant la Segona Guerra Mundial. La idea de base de França Lliure era la voluntat del general De Gaulle de continuar la lluita contra els alemanys al costat dels britànics. Amb l'acord entre el Regne Unit i De Gaulle, els britànics s'encarregarien de salva
..........
'aixecament de colònies africanes, asiàtiques i oceàniques, com Camerun, Congo, Txad, Tahiti o Nova Caledònia, que no acceptavem la legitimitat del govern de Vichy dirigit pel mariscal Pétain després de l'armistici entre França i Alemanya de juny del 1940. Aquests aixecaments van donar a França Lliure dimensió d'Estat a més de força de combat. El 24 de setembre de 1941 s'institueix a Londres el Comitè Nacional Francès, que actuaria com un govern a l'ombra. El 24 de maig de 1943 es constitueix el"	3f74f2f81752803fe25e4ae6d14cf3a1
			Cessió d'Equipaments Municipals Sol·licitud d'utilització d'espais i equipaments municipals, per a la celebració d'activitats culturals, esportives o de lleure. Aquest servei té un preu variable establert a l'ordenança fiscal núm. 18 i és el següent: - Planta baixa: 30 € diaris quan s’utilitza dos o més dies consecutius, i 50 € diaris quan s’utilitza un dia, o dos o més dies no consecutius. - Planta tercera o sala polivalent: 50 € diaris quan s’utilitza dos o més dies consecutius, i 80 € diaris quan s’utilitza un dia, o dos o més dies no consecutius. - Per la utilització de qualsevol espai del Casal del Poble, inclòs l’habilitat pel Jutjat de Pau, amb motiu d’un casament, 50 €. Quin cost té: Variable. Qui pot sol·licitar-ho: Qualsevol persona, entitat o associació.Darrera actualització: 19.04.2017 | 18:07	3aea302adf35fff0b9dfd9cf7223c3b4
			"És un dels autors catalans més venuts de l'última dècada. Eduard Punset proclama amb entusiasme la seva fe en el futur de la humanitat en un nou assaig, 'Les claus del futur'. Davant del pessimisme i el fatalisme que envolta el temps present, l'autor proposa arguments científics i un recorregut apassionant pels últims avenços de la ciència i el progrés per proclamar amb entusiasme la seva fe en el futur de la humanitat. Un viatge guiat per ""una revelació tan important o més que la del Nou Testam
..........
 milió de lectors a Espanya, aposta a Les claus del futur (Destino) per no aturar-se davant les angoixes del present, perquè ""el pitjor és parar-se i el millor, formar part del ramat"". Punset ens mostra ""el món que veiem i el que imaginem"", s'introdueix en novetats rellevants del nostre temps com les xarxes socials i conclou amb ""una foto en raigs X de demà passat"" i ""dels propers cent mil anys"". Un futur en què ""la solitud deixarà de corc gairebé un terç de la població i s'ajornarà durant dècad"	dadde0ff4627f17bd8a5616197dd7cdf
			"Cyrano - fins a l'11 de març - Teatre Borràs - Barcelona - BÀSIC - PREMIUM DESCRIPCIÓ PROMOCIÓ ESPECIAL ÚLTIMES FUNCIONS: Entrades a 18€ en totes les zones Lluís Homar, recentment guardonat amb el Premi Butaca al millor actor, es posa a la pell de Cyrano acompanyat de Joan Anguera, Aina Sánchez, Albert Prat i Àlex Batllori i de l'equip artístic que ja va triomfar amb 'Terra Baixa': Pau Miró a la dramatúrgia i direcció, Lluc Castells a l'escenografia i vestuari i Sílvia Pérez Cruz a la música ori
..........
 un tàndem creatiu que els duu a abordar els clàssics amb una mirada sensible i actual buscant els punts de confluència entre els temes de la literatura universal i les preocupacions de qualsevol ciutadà. Lluís Homar protagonitza el clàssic d'Edmond Rostand, per posar-se el nas d'un dels soldats poetes més famosos de la història del teatre: Cyrano de Bergerac. FITXA TÈCNICA INFORMACIÓ DE L'ESDEVENIMENT DATA Aquesta proposta ja no està disponible IDIOMA català CATEGORIES ADREÇA Pl. Urquinaona, 9 "	dc511cc5b0fe13adac2fb40551fb3532
			"Ondàmetre Un ondàmetre és un instrument per mesurar la freqüència de senyals de microones. Consisteix en una cavitat ressonant sintonitzable acoblada a una línia de transmissió o una guia d'ona. Per realitzar una mesura es disposa l'ondàmetre en sèrie amb un detector i es varia la sintonia de la cavitat fins a arribar a la seva freqüència de ressonància. En aquestes condicions es comporta com un curtcircuit, reflectint tota la potència, de manera que a la sortida del detector no hi haurà tensió.
..........
factor de qualitat (Q) d'aquestes cavitats dificulta localitzar la ressonància, de manera que se sol incloure un element dissipatiu que el disminueixi. Tot i així el ondàmetre permet una mesura molt precisa (millor que tres dígits) de la freqüència. A causa de la faramalla que necessita i al desenvolupament dels PLL, oscil·ladors sintonitzats, divisors digitals, etc. i la seva inclusió en els equips de mesura de microones, el ondàmetre ha caigut en desús, conservant el seu valor per a utilitzar "	1b648f522ac7879712b7ed48947c2769
			"A causa de la climatologia d'aquest diumenge 22 de gener, la comissió organitzadora de la Fira de l?Oli d?Espolla ha decidit tornar a celebrar la Fira de l?Oli el proper diumenge 29 de gener, amb les activitats que estaven previstes. Per primera vegada, des de la primera edició, i ja en fa 21, la pluja va fer la seva aparició des de primera hora del matí i no es va aturar en tota la jornada. Malgrat que les previsons meteorològiques eren desfavorables, molts firaires van muntar les seves parades
..........
les 11 i la 1 del migdia. Totes les activitats previstes a l?aire lliure es van haver d?anul·lar per raons òbvies. Només es van portar a terme les exposicions i les visites teatralitzades al Celler Cooperatiu d?Espolla. S?ha pres aquesta decisió en deferència als firaires i al públic que no es va decidir a venir a Espolla -ja que tant a Figueres com a Roses, per exemple, va ploure de valent. A hores d?ara, el 90% dels firaires han manifestat la seva intenció de tornar a muntar les seves parades "	323cd6b0b45c65268aebebe7f2c32794
			18/11/2011 Bon Preu adquireix la Casa Comella de Vic per fer-ne seu social El Grup Bon Preu ha adquirit la casa Comella, ubicada a l'entrada de la plaça Major de Vic, amb l'objectiu de convertir-la en la seva seu social corporativa. La idea és poder-hi celebrar alguns actes institucionals d'importància. Amb aquesta compra l'empresa aconsegueix l'objectiu de poder comptar amb una seu social ubicada en un edifici amb una dimensió arquitectònica i històrica molt important. En aquests moments ja s'han iniciat les reformes del nou espai.	70b96f5e72b2a9ac88349a39fa437f1a
			"Un grup d’experts en incendis forestals visita la seu central dels Bombers Volia conèixer com actua el cos català Un grup d’experts en incendis forestals van visitar dilluns les instal·lacions de la seu central dels Bombers de la Generalitat. L’objectiu dels professionals, que provenien de diversos països europeus, era conèixer de prop la tasca que fa el cos català a l’hora d’actuar contra aquest tipus de focs. Els Bombers van ensenyar-los les instal·lacions de Cerdanyola del Vallès i van oferir
..........
 Manel Bosch, cap de la Sala Central; o Sebastià Massagué, responsable de la Divisió de Grups Especials, els Bombers van desgranar als experts quines estratègies utilitzen i apliquen per sufocar un incendi forestal. A més, també van oferir-los una demostració de diversos vehicles i equipaments que els permeten combatre aquests focs. La visita dels experts s’ha produït en el marc d’una reunió anual que promou el Ministeri d’Agricultura i que se celebra coincidint amb la IV Setmana Forestal Medite"	17e4cb15e746e147af9678594bfb6315
			"Festes i tradicions » GIRONA, TEMPS DE FLORS De l'11 al 19 de maig de 2013 58a Exposició de flors, monuments, patis i jardins És plena primavera i, com cada any per aquestes dates, la ciutat, i especialment el seu Barri Vell, multiplica la seva bellesa i capacitat de seducció amb motiu de la mostra ""Girona, Temps de Flors"". El llenguatge amable de les flors i les imaginatives instal·lacions florals que porten a terme centenars de participants, professionals i aficionats sense distinció, transfor
..........
s i colors. Els monuments, les cases i els seus patis interiors, els carrers, els jardins i els paratges naturals emergeixen revestits amb l'elegància de sorprenents elements vegetals, i tot aquest riquíssim conjunt patrimonial apareix com una inoblidable recreació artística. És alhora la ciutat sencera que s'obre al visitant per oferir-li els poderosos atractius de què disposa. Així, al costat de les flors i el patrimoni, també hi ha una interessant oferta cultural, turística, gastronòmica i so"	82f684e941a403a7b749c9595f6cda1a
